title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update,cluster
MLB 14 The Show,PS4,Sports,Sony Computer Entertainment,SCE San Diego Studio,8.3,0.73,0.59,0.0,0.0,0.14,2014-05-06,2018-03-16,1
MLB 09: The Show,PS3,Sports,Sony Computer Entertainment,SCE San Diego Studio,8.9,0.72,0.66,0.0,0.0,0.06,2009-03-03,2018-12-04,1
Monster Hunter Generations Ultimate,NS,Action,Capcom,Capcom,7.7,0.72,0.27,0.27,0.14,0.04,2018-08-28,2018-08-30,4
XCOM: Enemy Unknown,PC,Strategy,2K Games,Firaxis Games,9.0,0.72,0.28,0.0,0.37,0.07,2012-10-09,2018-03-22,2
Mortal Kombat (2011),PSV,Fighting,Warner Bros. Interactive Entertainment,NetherRealm Studios,8.8,0.71,0.42,0.0,0.15,0.15,2012-05-02,2018-01-06,2
The LEGO Movie Videogame,PS4,Action-Adventure,Warner Bros. Interactive Entertainment,TT Fusion,6.0,0.71,0.26,0.01,0.32,0.11,2014-02-07,2018-03-20,0
Astro Bot Rescue Mission,PS4,Platform,Sony Interactive Entertainment,SIE Japan Studio,8.5,0.71,0.22,0.02,0.36,0.11,2018-10-02,2018-09-17,2
Catherine,PS3,Puzzle,Atlus,Atlus,7.9,0.71,0.3,0.2,0.15,0.06,2011-07-26,2018-09-12,4
Conker: Live And Reloaded,XB,Action-Adventure,Microsoft Game Studios,Rare Ltd.,8.1,0.71,0.49,0.0,0.2,0.02,2005-06-21,2018-09-25,3
Plants vs Zombies: Garden Warfare,XOne,Shooter,Electronic Arts,PopCap Games,7.6,0.71,0.39,0.0,0.25,0.06,2014-02-25,2018-02-05,4
LEGO Harry Potter: Years 1-4,PSP,Adventure,Warner Bros. Interactive,Traveller's Tales,7.5,0.71,0.14,0.0,0.38,0.19,2010-06-29,2018-12-01,4
Monster Hunter 3 Ultimate,WiiU,Role-Playing,Capcom,Capcom,8.7,0.71,0.24,0.22,0.2,0.04,2013-03-19,2018-01-29,2
Rocksmith 2014,PC,Music,Ubisoft,Ubisoft San Francisco,9.0,0.7,0.39,0.0,0.24,0.06,2016-10-04,2018-03-08,2
Monster Hunter Stories,3DS,Role-Playing,Capcom,Marvelous,8.1,0.7,0.14,0.39,0.15,0.03,2017-09-08,2018-05-23,2
Jade Empire,XB,Role-Playing,Microsoft Game Studios,BioWare Corp.,9.0,0.7,0.48,0.0,0.19,0.03,2005-04-12,2018-09-25,2
Rayman Legends,NS,Platform,Ubisoft,Ubisoft Montpellier,4.5,0.69,0.23,0.0,0.4,0.05,2017-09-12,2019-01-02,0
Kirby's Dream Collection: Special Edition,Wii,Platform,Nintendo,HAL Laboratory,8.0,0.69,0.33,0.33,0.0,0.03,2012-09-16,2018-03-20,4
The Sly Collection,PS3,Platform,Sony Computer Entertainment,Sanzaru Games,8.7,0.69,0.52,0.01,0.08,0.08,2010-11-09,2018-04-12,2
Mario Party: The Top 100,3DS,Party,Nintendo,"Nd Cube Co., Ltd.",5.0,0.69,0.23,0.24,0.17,0.04,2017-11-10,2020-08-04,0
Fortnite,NS,Shooter,Warner Bros. Interactive Entertainment,Epic Games,8.5,0.69,0.38,0.01,0.24,0.06,2018-11-16,2018-06-18,2
